,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
29,38,81.4507,0.0789,0.3429,90.2236,0.0113,0.3373,159.3845,4.2959,0.7213,193.277,1.4549,0.7725,286.4666,3.5138,0.0529,299.8699,1.8631,0.0559,328.2036,0.5887,0.0605,393.4602,0.8239,0.2502,2090.0622,326.321,79.7056,-13.85742883,2.052989,1.150523,155.525391
30,39,91.9495,0.1074,0.3996,102.9326,0.0515,0.4336,159.0101,4.1076,0.7962,187.4802,2.4189,0.7906,302.3362,3.0669,0.0246,339.8413,2.5091,0.0487,400.3611,0.2831,0.0169,465.3343,0.8837,0.3838,1940.9302,331.9821,85.0355,-14.60134194,2.051176,1.170544,154.496582
31,40,90.181,0.0134,0.4051,99.972,0.0083,0.3715,163.6799,2.4015,1.1943,217.7501,5.0295,0.5242,315.0038,3.4035,0.0226,334.3039,2.2115,0.0533,362.1383,0.1152,0.0192,423.478,0.8599,0.6764,2033.746,348.5766,79.1546,-15.10968779,2.015688,1.157749,153.107574
32,41,93.9475,0.0034,0.4112,108.2969,0.0383,0.411,172.4928,1.0658,1.2311,291.1066,6.6056,0.2955,320.8602,4.4114,0.0352,341.8541,1.9338,0.0197,389.65,0.1477,0.0596,470.4443,2.3004,0.7121,1984.1711,389.9365,63.2952,-15.2611687,1.931484,1.164877,152.334183
33,42,86.2995,0.0105,0.4228,107.0701,0.0731,0.4049,177.7193,0.5617,0.9413,330.0885,3.3322,0.0999,358.1435,2.2049,0.0318,373.0766,5.5441,0.2754,388.0263,0.7013,0.1036,508.9284,5.8108,1.0217,1989.4747,428.6148,53.8083,-12.35265985,1.845682,1.16507,152.973557
34,43,51.3334,0.0486,0.3921,86.8978,0.0749,0.3675,178.259,0.4615,0.7957,312.7055,1.0451,0.0584,325.9538,2.887,0.0814,353.8732,2.0018,0.0804,386.5706,1.4851,0.3207,529.5488,10.8055,1.2955,2086.8125,450.9174,47.6008,-10.89307159,1.789561,1.152968,153.922653
35,44,62.7706,0.0515,0.4729,104.513,0.0438,0.4418,178.3981,0.5404,0.7995,318.9797,2.4641,0.0551,336.4805,3.0287,0.0609,388.5149,1.3975,0.1259,424.6709,1.6316,0.2214,565.5724,8.5108,1.4353,1974.9433,453.7067,44.816,-11.45306152,1.766282,1.169036,153.535065
36,45,67.9924,0.0354,0.4559,91.8912,0.0206,0.3856,175.2561,0.8616,0.8132,317.3429,2.6586,0.0368,320.3664,3.0751,0.0545,358.7567,1.7257,0.2033,386.7812,1.4925,0.229,490.8378,7.6967,1.0076,2053.2051,430.3205,55.958,-11.62324223,1.826246,1.15666,150.880554
37,46,84.6544,0.0403,0.48,100.958,0.036,0.3933,174.3008,1.2396,0.7149,292.2825,3.5054,0.0226,314.0629,3.1358,0.0789,345.6138,4.3892,0.1155,402.134,0.4776,0.3398,460.6035,3.0092,0.5124,2001.129,398.5383,66.7464,-12.05842041,1.894542,1.162914,148.129166
38,47,88.8458,0.0791,0.4826,101.8697,0.0192,0.4217,173.9378,1.4206,0.7284,280.2991,3.4508,0.0185,302.0153,5.3183,0.1411,328.6253,3.0305,0.0336,404.8296,0.3379,0.3455,458.2501,1.8841,0.4012,1987.9373,393.1969,74.0621,-12.42639228,1.928484,1.164516,148.364685
39,49,97.9993,0.0092,0.548,101.0416,0.0037,0.4611,170.6931,0.9438,1.1868,307.0986,3.3961,0.0656,331.4143,3.6743,0.1521,351.8223,8.8896,0.163,420.7835,0.5169,0.1179,483.353,2.3821,0.9727,1950.044,451.5371,67.2205,-15.5184478,1.877185,1.170705,158.608307
40,50,80.5988,0.0084,0.4659,84.0279,0.0305,0.4725,170.8326,0.7974,1.308,305.9781,3.28,0.0264,320.1975,3.0199,0.0575,352.1223,0.072,0.0204,362.292,5.6446,0.2848,454.5777,8.4085,0.9757,2059.6751,478.6127,63.0365,-16.00100299,1.843364,1.156611,163.461731
41,51,83.2263,0.0216,0.4957,87.9092,0.0432,0.5181,172.9621,0.5289,1.3686,319.5504,2.6498,0.0282,323.4447,2.8729,0.0308,380.1352,0.3829,0.1617,386.9532,5.9001,0.178,485.0315,9.6495,1.2283,2016.8512,500.9921,60.8386,-15.0097882,1.817207,1.163158,163.021698
42,52,80.5008,0.0916,0.5235,85.5664,0.0271,0.5327,173.174,0.5254,1.2783,316.3664,3.0325,0.0327,339.188,2.7679,0.0622,376.145,2.4008,0.3761,395.592,2.6265,0.1113,472.9645,10.413,1.3505,2020.9763,507.0947,65.1564,-14.50784295,1.824344,1.162279,159.697098
43,53,75.3356,0.09,0.5146,79.5966,0.04,0.5508,167.2935,0.7717,1.3465,285.373,3.3351,0.0016,334.3755,3.3447,0.0658,355.8295,2.1064,0.5138,381.3687,1.2538,0.0872,437.9514,11.0843,0.9759,2066.1114,498.0013,71.2216,-16.25790559,1.849104,1.155617,158.65094
