,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
43,45,115.6048,0.0103,1.3776,120.5256,0.0617,0.9404,192.8472,2.1725,2.8235,335.1126,10.8323,0.6427,357.8483,10.6641,0.3939,534.0885,4.4561,3.6945,569.0687,14.7792,3.9377,613.428,30.984,4.5636,1922.0396,999.3405,92.154,-6.504894162,1.702495,1.175052,163.618988
44,46,115.4543,0.0038,1.3507,119.2851,0.0913,0.943,189.2214,2.3364,2.7995,318.5534,13.9892,0.9407,346.5136,9.7893,0.3577,542.7243,4.093,3.0102,570.8723,10.2687,3.5068,618.8873,30.8277,4.251,1912.8363,1014.6987,90.8574,-8.660767518,1.695258,1.177,165.721527
45,47,105.6987,0.1246,1.5114,112.0545,0.1048,1.2718,177.6857,1.8979,4.3367,312.2743,13.6437,0.7278,334.1672,9.9885,0.4443,549.1737,7.6236,3.6779,556.8323,6.2931,1.597,634.3647,29.6093,4.9209,1919.658,1097.5351,91.4521,-11.0254762,1.67546,1.177379,171.064606
46,48,101.6285,0.1476,1.9047,106.0557,0.097,1.2893,181.9492,2.4878,5.1094,296.7602,13.9709,1.585,332.921,10.3821,1.3583,542.9595,4.3717,4.349,551.9315,11.6949,2.5967,615.2864,31.826,4.7523,1932.8965,1120.1135,97.5761,-9.483997887,1.683796,1.174934,172.770203
47,49,112.042,0.1552,1.7375,117.4591,0.1123,1.5169,180.8301,2.7199,4.5832,302.5685,14.8636,0.9899,323.8665,9.1092,0.9991,552.4557,11.787,3.5501,562.2094,13.0414,2.6986,587.0099,22.6433,2.2795,1886.4328,1117.8483,108.2125,-10.81682913,1.703611,1.180641,176.958038
48,50,117.1531,0.0153,1.7224,122.0972,0.0774,1.4488,180.2409,2.5859,3.9392,312.2019,13.0538,0.806,320.7199,11.0983,0.7719,528.4641,20.2573,3.8777,560.7416,5.1779,0.9246,588.1526,24.5385,2.3363,1879.5268,1095.7259,115.355,-11.70249674,1.723228,1.180582,169.331085
49,51,112.9679,0.012,1.7458,122.1467,0.032,1.2252,184.3173,1.9715,3.9778,322.8106,11.6358,0.4173,326.6408,12.6051,0.5579,527.752,9.6532,3.0613,561.5763,5.0621,1.5435,608.4143,41.2972,2.8191,1889.2599,1074.3185,111.4711,-10.27102093,1.716189,1.179357,162.101578
50,52,97.7189,0.0549,1.8597,111.5657,0.0348,1.5478,189.0039,0.9407,5.1289,329.498,11.3059,0.5907,344.7446,12.5676,0.5953,538.6578,3.2649,1.8483,547.658,6.6893,1.0963,656.4967,45.5478,5.1685,1928.1804,1153.3994,100.0826,-10.27120918,1.677082,1.175739,162.315231
51,53,86.6163,0.1484,1.7543,99.271,0.07,1.7028,184.3911,0.8536,5.1857,334.1148,11.3766,1.3825,347.893,13.2006,0.7601,534.1279,7.6942,1.3534,538.1038,3.6357,2.1789,680.3854,36.7843,6.3092,1960.8228,1217.248,89.9651,-10.4733929,1.652991,1.17298,167.964615
52,54,106.8128,0.0478,1.9946,112.4192,0.0734,1.8631,188.4645,1.1939,5.2092,332.1434,13.2292,0.5262,353.8699,10.9618,0.63,549.5708,9.8164,2.9319,553.7163,7.2965,2.8451,619.8727,37.5987,4.4693,1910.3341,1243.747,114.4727,-11.85636219,1.686528,1.17818,173.629227
53,55,119.7159,0.0334,1.9659,121.2904,0.0548,1.8621,185.6895,1.5246,5.2865,339.549,12.3975,1.7062,359.1962,10.7171,0.7499,527.9879,40.2965,4.6909,566.0356,9.1105,1.4926,568.726,13.0954,1.3793,1884.804,1220.9408,133.3344,-11.7122859,1.731759,1.179287,175.821518
54,56,118.7032,0.0356,1.8864,120.636,0.057,2.1184,186.3058,1.4593,6.0408,325.4988,14.0995,0.7344,349.1138,9.7755,0.5729,538.5986,34.2061,4.1949,567.3678,7.1313,1.8784,568.4089,19.0692,0.7589,1868.6344,1257.0476,138.1345,-13.74466528,1.725841,1.181989,176.685364
55,57,103.0054,0.0237,2.0319,105.5508,0.0267,2.1155,178.4959,1.4416,6.7395,303.955,16.1609,0.5734,327.8821,11.2198,0.6661,541.1633,3.7928,1.0972,547.866,5.7307,1.0881,611.4532,40.5394,5.4118,1906.8445,1281.5652,124.7176,-14.60931131,1.689445,1.178786,174.045578
56,58,89.1889,0.0092,2.1315,98.249,0.0612,2.001,181.8743,1.2028,6.8264,287.4648,13.0946,0.5248,325.2334,13.731,0.7306,531.5038,5.6147,1.1899,545.8492,4.1113,0.5769,645.5592,39.5948,6.4359,1928.1885,1294.1087,119.0879,-14.77390719,1.669441,1.176989,172.112
57,59,102.4688,0.0034,1.942,110.0672,0.0216,2.0104,177.1149,1.4754,6.7136,299.2604,13.1562,0.702,326.8729,12.9174,0.8052,543.9383,3.7162,4.5289,557.8999,6.1478,1.7207,598.4648,43.2188,4.8647,1898.2723,1267.8959,133.2835,-14.89576963,1.695316,1.179698,174.765686
58,60,117.9161,0.0886,2.0527,123.955,0.0069,1.8904,185.4427,1.7851,5.5768,318.388,10.2101,0.9155,343.4145,13.473,0.9264,531.3165,45.5106,4.2683,562.8097,6.8218,0.4732,575.0432,8.5359,0.2286,1854.4501,1236.4529,137.5569,-14.09073705,1.733419,1.183728,177.685837
59,61,116.1,0.1476,1.9893,125.6637,0.012,1.9043,184.4257,1.6003,4.9302,326.0788,11.6283,1.4865,355.7306,12.3648,1.0303,521.6074,38.4904,4.1887,559.6072,7.7657,1.4871,583.9176,18.2551,0.5189,1871.2048,1210.1321,131.8711,-11.5934355,1.734815,1.18104,172.008881
60,62,99.7144,0.0654,2.0377,116.5152,0.0471,2.0257,192.0227,0.8583,4.6523,337.8618,12.8434,0.8453,369.1314,10.4204,0.685,544.646,8.3162,1.7577,559.5646,7.7246,3.2031,631.7873,44.7593,5.067,1918.573,1245.2677,107.1893,-11.6153356,1.683478,1.176972,169.454712
61,63,72.5806,0.1578,1.7785,93.6184,0.1226,1.9829,194.8031,0.7817,4.3595,337.0887,13.5136,0.6995,362.9698,10.4857,0.3148,521.5481,4.8019,0.7647,546.8059,8.8394,2.7069,703.2222,37.5179,7.4945,1991.2071,1249.9411,91.308,-9.629078199,1.639233,1.169416,167.101227
62,64,94.4683,0.071,1.8469,107.4125,0.0401,1.6623,193.3814,1.2985,4.2881,335.1568,14.0662,0.7718,352.3897,9.626,1.1334,532.4768,3.3453,0.6237,553.3037,9.2723,2.3138,668.8474,39.6621,6.669,1938.3314,1182.873,98.4169,-8.923129449,1.667228,1.174888,162.528305
