,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
34,72,47.0086,0.1108,1.8497,82.6586,0.2155,1.8924,168.7587,0.1712,1.2753,216.0693,0.3871,0.056,291.0549,3.9586,0.5039,315.6583,4.4051,0.5636,345.6736,7.9421,1.0148,483.5762,36.3767,26.759,1859.4638,579.2341,9.6502,-20.64627127,1.731193,1.175629,152.666702
35,74,72.006,0.1072,1.1383,96.0913,0.1943,0.885,191.6868,0.0262,3.1919,297.9155,0.4122,0.1948,343.5345,3.3308,0.4934,377.4468,3.4377,0.4583,456.9669,0.887,1.3657,668.9216,6.2464,2.2679,1794.2895,602.8867,24.3379,-10.04166602,1.650674,1.180434,141.947128
36,75,94.8399,0.1361,1.201,103.6176,0.3392,0.7797,196.4246,0.135,4.4687,326.5043,1.0625,1.0948,351.5712,1.9805,3.1885,398.8431,2.9886,5.1047,436.1497,2.9372,54.2002,561.0462,10.5293,17.9388,1734.8258,562.0284,289.9573,-9.558922581,1.708752,1.187095,136.52153
37,76,110.0362,0.1968,301.3888,115.548,1.433,253.3039,157.9513,25.6644,3529.7879,325.3264,12.1287,747.8455,337.6858,4.1803,235.5363,365.8636,33.4964,1852.2212,398.7327,2.6096,204.8708,477.5616,31.8488,1035.6805,1504.2523,1631.4006,228713.8131,-10.74993656,1.763709,1.199941,135.757339
38,77,103.2347,0.042,2.9624,114.2912,0.0064,7.3806,174.4775,1.5619,41.5797,283.5137,4.7463,8.7427,310.7036,3.0046,6.3732,337.5811,5.778,6.9941,395.2419,1.6633,152.5424,489.2388,7.2395,203.6271,1660.6792,1131.2493,2499.9594,-13.75966277,1.765838,1.187264,141.397156
39,78,83.0614,0.3043,1.3534,106.1644,0.1057,1.5917,173.2643,0.2273,1.142,274.3505,6.2148,0.3087,302.3711,3.6551,0.7353,328.8784,0.5188,0.0366,366.5835,3.0706,0.8989,527.807,41.4261,20.0804,1699.028,416.9302,3.2146,-22.06419287,1.695734,1.203084,151.258591
40,79,-77.939,0.0027,1.1173,-43.6357,0.2265,1.3867,141.5628,0.4534,0.764,179.4634,0.712,0.8607,245.5038,2.0592,0.2746,270.3316,4.1347,0.0886,335.497,4.9902,0.4633,569.3885,28.3578,22.4049,1952.2918,502.8645,2.2899,-21.93304327,1.657415,1.165236,161.05513
41,82,112.671,0.1882,1.5257,120.0135,0.0886,2.1936,165.9843,0.0171,1.5234,298.3329,4.9607,0.6322,314.8437,2.1233,1.1143,358.7772,4.5994,1.0377,399.9908,7.5364,8.7934,489.9688,16.6214,15.0154,1540.7002,519.4205,16.2221,-18.63974529,1.756424,1.225474,157.074966
42,83,-212.7317,2.4258,5.4413,-51.9733,0.227,2.0006,128.7936,0.182,0.6439,160.8176,0.4761,1.3459,235.357,0.874,0.8175,339.3798,5.5251,0.2827,357.2856,5.2802,0.2552,419.8196,16.9867,32.8524,1880.4575,746.6781,38.786,-16.92752151,1.7689,1.169072,161.299683
43,84,106.6204,0.2386,1.4285,126.945,0.1089,1.5928,151.2981,0.0304,2.0712,258.5992,3.4391,0.3302,336.7104,5.4852,0.2289,358.1313,5.2315,0.7157,378.6946,1.1644,1.1905,491.2791,28.3145,12.7907,1573.8067,495.4299,5.017,-22.44703672,1.680459,1.222896,166.971359
44,85,-150.5659,0.1204,0.8887,-145.5953,0.4883,0.8099,125.7978,0.5415,0.8546,176.5264,0.3983,1.3688,228.0582,0.2399,0.3546,325.3833,5.0704,0.1551,372.7225,5.3078,0.4186,550.605,20.982,18.2963,2000.8178,502.1142,1.6141,-25.96002595,1.666762,1.159905,166.244858
45,86,47.6285,0.589,1.2918,102.1782,0.1459,1.4147,172.9771,0.0386,1.2779,291.484,5.0181,0.0903,312.7533,0.383,0.2807,331.7222,4.6594,0.1613,367.665,4.6839,1.0377,566.2093,30.3126,17.3274,1711.6164,370.4409,1.1604,-21.37700666,1.647447,1.205851,160.872955
46,87,-152.4011,6.4055,44.5006,81.9688,0.0434,3.0098,145.1911,0.6742,42.8269,186.1649,1.7442,2.0975,277.3407,3.308,2.1967,318.5659,4.6873,11.9583,373.5763,1.6115,52.6714,489.7214,0.332,86.483,1833.9799,811.6874,485.5192,-11.90242143,1.710411,1.171098,158.018204
47,88,121.1234,0.0162,1.6306,130.4967,0.164,1.6596,169.0443,0.4859,19.1094,290.3162,4.4733,0.6843,317.6081,1.8836,5.9823,327.6604,3.5762,10.0272,404.5334,3.5326,126.8405,553.1395,0.0573,80.7073,1592.284,790.1984,252.0133,-10.981174,1.721811,1.205156,155.319122
48,90,109.4604,0.0399,0.7096,137.1449,0.0366,0.5324,188.0076,0.185,1.4258,293.5448,4.7304,0.3583,308.9132,3.5258,0.2963,380.9953,0.309,0.1395,443.9573,1.3246,2.3995,596.1914,4.7636,1.0983,1648.5521,444.5046,12.0787,-11.00778042,1.697633,1.200209,138.811035
49,91,66.1999,0.0745,0.7883,144.7682,0.0039,0.7282,192.8084,0.1045,3.5722,313.3219,3.8382,0.2453,320.2883,2.7635,0.1848,358.7754,1.1061,1.0052,455.5508,2.2456,8.7384,631.4386,4.0089,21.935,1730.1394,518.0166,157.7148,-6.915473955,1.680708,1.185383,131.473633
