,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
39,42,72.8714,0.4789,1.1559,98.2499,0.9641,2.2025,192.5853,0.0974,1.8299,269.0702,0.5813,7.8279,296.2838,3.8545,3.7805,330.0235,7.2456,4.8584,359.5939,4.5802,82.7599,611.7999,9.0136,129.748,1006.4372,231.6812,193.7462,-5.308609098,1.74823,1.317434,119.605766
40,43,69.8587,0.4701,0.8146,102.5402,1.0984,1.6538,195.6778,0.1284,2.0459,250.9983,0.0693,3.6307,322.431,2.8613,15.9358,341.3257,5.3809,5.6529,369.1233,5.4629,52.3628,645.0365,6.0159,103.4097,1078.0373,213.9366,174.36,-2.605860777,1.730576,1.302913,119.923302
41,44,72.0671,0.4507,0.8748,99.728,1.2628,1.9027,186.8751,0.3437,4.4844,212.1999,0.3591,0.1957,289.6005,5.117,62.8112,340.6533,6.781,8.6464,380.8231,6.1566,14.0211,573.0389,19.1942,93.4305,1178.5601,304.1735,136.7947,-2.094816633,1.769593,1.280836,117.598167
42,45,90.9925,0.3602,0.9763,108.2778,1.2203,1.8302,186.7782,0.1171,5.425,265.2443,12.3267,74.6427,287.3462,0.859,16.7933,327.1133,8.0414,3.9848,377.0797,4.6067,5.1044,531.3033,29.0513,71.9287,1038.7633,285.8773,75.3103,-5.719000638,1.81858,1.311515,114.220253
43,46,77.5501,0.2168,1.1546,96.2986,0.7624,1.5659,179.2906,0.3918,5.3496,208.1168,25.9144,6.6183,243.4353,6.4836,9.343,339.3063,7.6783,0.6697,361.8448,6.2097,0.7746,463.3567,43.3687,1.3504,1204.2943,430.7834,27.2457,-0.879204261,1.861723,1.272989,114.498848
44,47,76.0884,0.3142,1.1957,96.8414,0.2708,1.8228,175.2666,0.0519,5.4902,215.1266,29.3935,7.1949,249.5331,1.6603,2.1164,331.1565,3.6607,0.7798,353.4005,7.6508,0.5089,468.69,39.068,0.128,1184.487,423.1732,66.3128,0.050702808,1.861811,1.277131,117.72805
45,48,78.92,0.4295,1.4095,94.1375,0.3211,2.1254,173.8815,0.0168,5.4419,231.0745,30.0604,34.253,259.6924,0.9158,1.3462,316.3424,4.0181,0.7585,340.3926,7.2126,0.6649,502.2879,29.7552,13.6992,1071.2574,419.27,7.7974,-1.840612332,1.828374,1.297817,122.774101
46,49,58.2134,0.7007,1.4643,75.3992,0.2726,2.2695,129.8862,0.2076,0.8394,172.6145,0.8426,7.8935,240.6194,19.2613,21.207,289.0308,5.8197,1.4089,330.2538,7.7797,0.886,500.8846,24.781,14.4999,1232.0761,502.6102,9.4422,0.458207802,1.793195,1.265002,128.99826
47,50,45.3495,0.8685,2.3008,87.3791,0.546,1.485,168.8037,0.699,8.3494,179.9264,0.5422,3.1492,257.6576,9.8799,39.3374,285.7142,11.9352,29.9869,329.0376,7.9568,1.4605,570.6268,15.8209,58.6062,1083.1785,411.714,59.0307,-0.267444762,1.746765,1.293829,132.580704
48,51,-47.7941,0.8813,2.1818,82.313,0.8145,1.6485,133.7251,0.0841,2.6023,173.9914,1.6017,11.5004,253.1821,10.8659,40.139,292.1448,12.4643,22.1649,328.932,7.3854,0.7598,565.9967,18.9707,60.1937,1119.3974,465.6744,35.9016,0.600338817,1.743897,1.284964,132.195221
49,52,-25.9307,0.6784,1.6012,70.3008,0.8279,2.4403,97.3426,0.0307,2.0888,169.2046,1.9087,17.0057,238.9309,6.2558,28.2354,280.7391,13.1901,21.661,339.4707,7.5521,0.681,517.2602,24.1202,68.8843,1187.447,531.1829,3.7325,-2.853664476,1.773032,1.273003,127.868469
